NAME	DESCRIPTION	GENE_SYMBOL	GENE_TITLE	SCORE
ISG20	NA	null	null	2.0290525
TMC8	NA	null	null	2.0215247
TBCB	NA	null	null	2.0213053
SLC35F6	NA	null	null	2.0210934
JAML	NA	null	null	2.0192847
DAAM2	NA	null	null	2.017484
PPP2R2B	NA	null	null	2.0169961
TMSB4X	NA	null	null	1.9968748
RELN	NA	null	null	1.9964947
KHDRBS3	NA	null	null	1.9866726
MXRA7	NA	null	null	1.9862944
MX2	NA	null	null	1.9825743
NLGN2	NA	null	null	1.971321
GBP2	NA	null	null	1.9601783
CCL24	NA	null	null	1.9597425
INPP4B	NA	null	null	1.9592484
CD69	NA	null	null	1.9548532
LRRC70	NA	null	null	1.9521228
HPGDS	NA	null	null	1.9434271
LGALS2	NA	null	null	1.9416921
NDN	NA	null	null	1.9385737
PRKCD	NA	null	null	1.9287467
STAT2	NA	null	null	1.9284396
DBNDD2	NA	null	null	1.9198959
CCR10	NA	null	null	1.9113963
NLRC5	NA	null	null	1.9072493
TMEM37	NA	null	null	1.9048113
LRRN4CL	NA	null	null	1.9013513
RHEBL1	NA	null	null	1.8998435
IQCJ-SCHIP1	NA	null	null	1.8975505
ACER3	NA	null	null	1.8968397
CCDC3	NA	null	null	1.8921155
PIR	NA	null	null	1.8917933
VIM	NA	null	null	1.8915726
ERVFRD-1	NA	null	null	1.887057
CD81	NA	null	null	1.8839368
ADIRF	NA	null	null	1.8831571
APOE	NA	null	null	1.8827682
IFI27	NA	null	null	1.8819491
FEZ1	NA	null	null	1.8759631
PLAC9	NA	null	null	1.8739914
C11orf96	NA	null	null	1.8676469
PKIG	NA	null	null	1.8663818
CCDC102B	NA	null	null	1.8652371
NTAN1	NA	null	null	1.8585634
TRPC4	NA	null	null	1.848645
CCDC92	NA	null	null	1.8447866
IFITM1	NA	null	null	1.8387536
MAOB	NA	null	null	1.8365458
PNP	NA	null	null	1.832273
APOC1	NA	null	null	1.826715
AGAP6	NA	null	null	1.8262892
MFHAS1	NA	null	null	1.8261896
CAV1	NA	null	null	1.822766
GNLY	NA	null	null	1.8141941
APOBEC3D	NA	null	null	1.8120655
U2AF1L4	NA	null	null	1.8101983
NPIPA2	NA	null	null	1.8092918
SSH1	NA	null	null	1.8076092
CTSG	NA	null	null	1.802277
VGLL3	NA	null	null	1.8011943
ACOT7	NA	null	null	1.8001993
SLCO3A1	NA	null	null	1.7946142
ANGPT2	NA	null	null	1.7943054
LOC728392	NA	null	null	1.7892402
PINLYP	NA	null	null	1.7814695
MAP7D3	NA	null	null	1.7810453
KCTD12	NA	null	null	1.7792174
GIMAP1	NA	null	null	1.7786045
CALD1	NA	null	null	1.7652929
TMSB10	NA	null	null	1.7602463
ASGR1	NA	null	null	1.7544363
EEPD1	NA	null	null	1.7503551
FAM101B	NA	null	null	1.7474084
MAP1B	NA	null	null	1.7469041
CLIC1	NA	null	null	1.7455307
IFI27L2	NA	null	null	1.7454243
ZNF385D	NA	null	null	1.745415
THBS4	NA	null	null	1.7453457
SNAI2	NA	null	null	1.7447685
HIC1	NA	null	null	1.7429711
TUBB3	NA	null	null	1.7414064
CLDN11	NA	null	null	1.7382293
CLEC2B	NA	null	null	1.7313765
SRGAP2C	NA	null	null	1.7284855
TNFAIP3	NA	null	null	1.7249968
TCEA2	NA	null	null	1.7232397
NFKBIA	NA	null	null	1.722934
PIP4K2A	NA	null	null	1.7212942
ATG9B	NA	null	null	1.7179339
ERICH1	NA	null	null	1.7159272
OAS1	NA	null	null	1.7153826
CYP26B1	NA	null	null	1.713646
AFAP1L2	NA	null	null	1.7131885
C1orf35	NA	null	null	1.711381
GNG11	NA	null	null	1.7090776
FMO1	NA	null	null	1.7043486
TLR7	NA	null	null	1.7040784
ARHGAP15	NA	null	null	1.7027757
ATP2B4	NA	null	null	1.7010936
LY96	NA	null	null	1.6988297
CCDC102A	NA	null	null	1.698309
PTPRS	NA	null	null	1.6959412
TIMP2	NA	null	null	1.6945589
STX11	NA	null	null	1.6937065
BMP6	NA	null	null	1.6912197
ALDH1B1	NA	null	null	1.6911582
CPNE8	NA	null	null	1.6888213
ARL4C	NA	null	null	1.6882411
PABPC4	NA	null	null	1.6837013
ACTG2	NA	null	null	1.6776345
ADGRL1	NA	null	null	1.6758595
PDPN	NA	null	null	1.6740103
TBX5	NA	null	null	1.6729853
CNRIP1	NA	null	null	1.669965
MBP	NA	null	null	1.668884
IL32	NA	null	null	1.6680968
LOC102724279	NA	null	null	1.6676835
LAIR1	NA	null	null	1.6671879
CAMK2D	NA	null	null	1.6666158
FOXO1	NA	null	null	1.6612049
PUS1	NA	null	null	1.6608396
ADARB1	NA	null	null	1.6601541
SCNM1	NA	null	null	1.65482
NYNRIN	NA	null	null	1.6518507
MX1	NA	null	null	1.6517081
PRR16	NA	null	null	1.650905
FZD2	NA	null	null	1.6497445
FGD2	NA	null	null	1.6472075
HOXA13	NA	null	null	1.6461117
RGS10	NA	null	null	1.6443789
MECOM	NA	null	null	1.6433587
RAI14	NA	null	null	1.6413865
PDLIM1	NA	null	null	1.6390389
GLDN	NA	null	null	1.6307664
CRISPLD2	NA	null	null	1.6256267
ACAP1	NA	null	null	1.6235961
ISL1	NA	null	null	1.6231519
C20orf194	NA	null	null	1.6190579
ADRB2	NA	null	null	1.6170135
SPRY1	NA	null	null	1.6134862
RUNDC3B	NA	null	null	1.6128544
MNDA	NA	null	null	1.6037067
DOCK6	NA	null	null	1.6034945
RRAD	NA	null	null	1.5960321
ADAMTS4	NA	null	null	1.5926756
USP35	NA	null	null	1.5906892
LMOD1	NA	null	null	1.5905592
C16orf54	NA	null	null	1.5858892
MAS1L	NA	null	null	1.5843276
TSHZ2	NA	null	null	1.5833652
BRD9	NA	null	null	1.5819043
SH3RF3	NA	null	null	1.5811553
LAMP5	NA	null	null	1.5741997
ARHGAP1	NA	null	null	1.5731916
IER5	NA	null	null	1.5712569
LAYN	NA	null	null	1.5701547
XCL2	NA	null	null	1.5681106
GATA2	NA	null	null	1.567198
FAM193A	NA	null	null	1.5666327
ZNF34	NA	null	null	1.56036
RANGRF	NA	null	null	1.5592285
LIN7A	NA	null	null	1.5586935
ARHGDIB	NA	null	null	1.5562936
KRBOX4	NA	null	null	1.5558165
TUBB2B	NA	null	null	1.5534147
C14orf132	NA	null	null	1.5495288
XCL1	NA	null	null	1.5488746
PTPRE	NA	null	null	1.5447898
CDS2	NA	null	null	1.5443596
NENF	NA	null	null	1.5441657
SNX29	NA	null	null	1.5427017
KCNN3	NA	null	null	1.5411507
SFRP4	NA	null	null	1.5401512
MYH11	NA	null	null	1.5400687
DUSP7	NA	null	null	1.5393741
LOC100506248	NA	null	null	1.5389227
PSMB10	NA	null	null	1.5377388
HHEX	NA	null	null	1.536738
CSRP2	NA	null	null	1.5350531
LY6G5C	NA	null	null	1.5316536
FOXN3	NA	null	null	1.5282266
A1BG	NA	null	null	1.5256605
CCL4L1	NA	null	null	1.5246516
OLFM4	NA	null	null	1.5231502
TMOD1	NA	null	null	1.5210729
PTPRC	NA	null	null	1.5160236
NFATC1	NA	null	null	1.5150363
IGDCC4	NA	null	null	1.5117905
EXOC3	NA	null	null	1.5114514
SRM	NA	null	null	1.5102917
TPPP3	NA	null	null	1.5074573
SMO	NA	null	null	1.507322
ZNF598	NA	null	null	1.5040338
KLF4	NA	null	null	1.5028503
BDKRB1	NA	null	null	1.5012485
TMEM200A	NA	null	null	1.5005418
SSBP4	NA	null	null	1.5004797
HIRIP3	NA	null	null	1.500249
CAPNS1	NA	null	null	1.4982134
ZNF385B	NA	null	null	1.496322
C1orf54	NA	null	null	1.4881511
OAS3	NA	null	null	1.4868522
NAB2	NA	null	null	1.4853297
SRPX2	NA	null	null	1.480626
LOC107987457	NA	null	null	1.4802396
JUND	NA	null	null	1.4800642
LST1	NA	null	null	1.4792793
PRKCB	NA	null	null	1.4771299
SLC7A2	NA	null	null	1.4767772
DLC1	NA	null	null	1.4728976
SLC35D2	NA	null	null	1.4727774
TBX2	NA	null	null	1.4723418
FRMD4A	NA	null	null	1.4721994
BCL2L2-PABPN1	NA	null	null	1.4718568
LOC105379177	NA	null	null	1.4699111
KBTBD2	NA	null	null	1.4699074
TCEAL9	NA	null	null	1.4665018
TM6SF1	NA	null	null	1.4655792
AIP	NA	null	null	1.4653125
MGLL	NA	null	null	1.4645396
CD3D	NA	null	null	1.4630629
ADH1C	NA	null	null	1.4621305
SART1	NA	null	null	1.4616889
FRY	NA	null	null	1.4613837
PLAC8	NA	null	null	1.458338
TNK2	NA	null	null	1.4545145
KDM8	NA	null	null	1.4539183
NPIPB5	NA	null	null	1.4528157
C12orf57	NA	null	null	1.4492393
CPA3	NA	null	null	1.4483929
EBF1	NA	null	null	1.4463192
PLP1	NA	null	null	1.4456729
SKAP1	NA	null	null	1.4448279
SIVA1	NA	null	null	1.4432946
BRD3	NA	null	null	1.4427793
TFF3	NA	null	null	1.4416769
CTNNBL1	NA	null	null	1.4401447
GPR85	NA	null	null	1.4379373
CCDC36	NA	null	null	1.4366026
PCOLCE2	NA	null	null	1.4338969
CMA1	NA	null	null	1.4327774
VWC2	NA	null	null	1.4310104
VIT	NA	null	null	1.4304936
CMIP	NA	null	null	1.4304342
PRNP	NA	null	null	1.4298966
RABL2B	NA	null	null	1.4293631
SKA1	NA	null	null	1.4288436
SRD5A2	NA	null	null	1.4278411
TSHZ3	NA	null	null	1.4276825
CDH13	NA	null	null	1.4271629
GAB2	NA	null	null	1.4258162
COL8A2	NA	null	null	1.4255525
SULT1C4	NA	null	null	1.4247085
NONO	NA	null	null	1.4231182
MUM1	NA	null	null	1.4228866
TMEM176B	NA	null	null	1.4216926
RGS1	NA	null	null	1.4182305
TIMM10	NA	null	null	1.4180341
PRKCE	NA	null	null	1.4163734
ABCC5	NA	null	null	1.41561
CRIP1	NA	null	null	1.4136205
SLN	NA	null	null	1.4135584
RASL12	NA	null	null	1.412415
RGS16	NA	null	null	1.4089731
NOTCH3	NA	null	null	1.4077268
ZFAND2A	NA	null	null	1.4063348
IFIT3	NA	null	null	1.4045451
CAMK1D	NA	null	null	1.4032005
SYT11	NA	null	null	1.4030591
NFKBIE	NA	null	null	1.4028865
CFI	NA	null	null	1.4019543
GPX3	NA	null	null	1.4014837
GBP1	NA	null	null	1.4006172
ARHGAP6	NA	null	null	1.3997216
P2RX7	NA	null	null	1.398016
ARSB	NA	null	null	1.394932
PTPRM	NA	null	null	1.3935848
S100A3	NA	null	null	1.3920103
P2RY10	NA	null	null	1.3911039
DEF8	NA	null	null	1.3908801
FNDC4	NA	null	null	1.3892337
AP1S2	NA	null	null	1.3875599
RHOJ	NA	null	null	1.3873175
NUTF2	NA	null	null	1.3816273
NRGN	NA	null	null	1.3812495
TBXA2R	NA	null	null	1.3800117
ZBTB47	NA	null	null	1.3785408
POLR3C	NA	null	null	1.3759011
C10orf25	NA	null	null	1.3753103
C1QTNF5	NA	null	null	1.3751442
POLR2G	NA	null	null	1.3726174
COX4I2	NA	null	null	1.3714185
YBX3	NA	null	null	1.3687193
CD300A	NA	null	null	1.367257
SAP30BP	NA	null	null	1.3660122
EIF4A3	NA	null	null	1.364473
SLC48A1	NA	null	null	1.3630935
SLFNL1	NA	null	null	1.362609
SOX17	NA	null	null	1.3617681
RGS5	NA	null	null	1.3612205
NDP	NA	null	null	1.3597405
FLRT2	NA	null	null	1.359192
ADM	NA	null	null	1.3582486
TOX	NA	null	null	1.3565246
RBMX2	NA	null	null	1.3559619
HCST	NA	null	null	1.3558862
ITGB1BP1	NA	null	null	1.355619
MAP3K7CL	NA	null	null	1.3555988
BAALC	NA	null	null	1.3534992
APOBEC3B	NA	null	null	1.3531436
UBE2L6	NA	null	null	1.3506953
NBL1	NA	null	null	1.3498366
SNTB2	NA	null	null	1.3491864
EIF3CL	NA	null	null	1.3475555
GPNMB	NA	null	null	1.3468938
C1orf186	NA	null	null	1.3431605
EMP3	NA	null	null	1.3423352
CTTN	NA	null	null	1.3421886
BST1	NA	null	null	1.341963
TWIST2	NA	null	null	1.3414792
FKBP9	NA	null	null	1.3394575
WNT2	NA	null	null	1.3383976
NRF1	NA	null	null	1.3351394
MAN1C1	NA	null	null	1.3339171
ETS2	NA	null	null	1.3330959
PITX1	NA	null	null	1.3325617
GMFG	NA	null	null	1.3316303
THBD	NA	null	null	1.3311205
PRKCH	NA	null	null	1.3304933
RASSF9	NA	null	null	1.3304827
BDKRB2	NA	null	null	1.3293085
BTBD6	NA	null	null	1.3287694
TNFSF8	NA	null	null	1.3286172
TP53INP1	NA	null	null	1.32776
TMEM88	NA	null	null	1.3276694
TMEM44	NA	null	null	1.324907
ST8SIA4	NA	null	null	1.3231399
RDH5	NA	null	null	1.323125
SBSPON	NA	null	null	1.3225415
CNTFR	NA	null	null	1.3224901
MMRN2	NA	null	null	1.3216189
CHD7	NA	null	null	1.321225
SLC30A4	NA	null	null	1.3188949
HOXD9	NA	null	null	1.3183032
DNM3	NA	null	null	1.3173008
AKR1C3	NA	null	null	1.317217
FAM124B	NA	null	null	1.3172101
FOSB	NA	null	null	1.316014
ADAM19	NA	null	null	1.3132331
FAM96B	NA	null	null	1.3122501
SULF1	NA	null	null	1.3064322
FYN	NA	null	null	1.3063687
PLXNA2	NA	null	null	1.305959
HUNK	NA	null	null	1.3049456
GPM6B	NA	null	null	1.304562
SERPINB9	NA	null	null	1.3015696
FERMT2	NA	null	null	1.3010038
PMF1	NA	null	null	1.2992367
KLRC1	NA	null	null	1.2972947
CDC42EP3	NA	null	null	1.2962066
AKR1B1	NA	null	null	1.2958956
NT5C	NA	null	null	1.2949396
EMCN	NA	null	null	1.2943316
USE1	NA	null	null	1.2941414
APOBEC3A	NA	null	null	1.2924454
FBL	NA	null	null	1.291848
LIN37	NA	null	null	1.2903793
COPS6	NA	null	null	1.2903757
EDNRB	NA	null	null	1.2874033
UCHL1	NA	null	null	1.2861428
FLT3LG	NA	null	null	1.2860546
ELK3	NA	null	null	1.2860396
RBM6	NA	null	null	1.2851079
HPSE2	NA	null	null	1.2848266
ENO2	NA	null	null	1.2847314
PMP22	NA	null	null	1.2843386
PREX1	NA	null	null	1.2839953
NASP	NA	null	null	1.2837846
NFKBID	NA	null	null	1.2830118
DPEP2	NA	null	null	1.2822448
C2orf40	NA	null	null	1.2808361
PFDN5	NA	null	null	1.2801619
DSE	NA	null	null	1.279879
CLN8	NA	null	null	1.2791731
RELL1	NA	null	null	1.2774575
BMP2	NA	null	null	1.2757586
RBMS3	NA	null	null	1.2748529
CCL4	NA	null	null	1.2745379
ARPC5	NA	null	null	1.2742224
CHORDC1	NA	null	null	1.2738186
NEGR1	NA	null	null	1.2688586
POPDC2	NA	null	null	1.2683522
PLPP1	NA	null	null	1.2680866
FAM110B	NA	null	null	1.2674496
CD7	NA	null	null	1.2655736
SH3D19	NA	null	null	1.2650621
CERK	NA	null	null	1.2642171
EIF4EBP1	NA	null	null	1.262652
PCSK6	NA	null	null	1.2623624
GIMAP7	NA	null	null	1.2589648
NEURL1B	NA	null	null	1.2584859
KCNE4	NA	null	null	1.257306
SYT1	NA	null	null	1.256745
SGF29	NA	null	null	1.2558901
GIMAP2	NA	null	null	1.2556624
SGCA	NA	null	null	1.2552817
RAB7B	NA	null	null	1.2515361
FHL2	NA	null	null	1.2502754
RGS13	NA	null	null	1.2499261
SRGN	NA	null	null	1.2493818
SLC16A14	NA	null	null	1.2488594
APOL2	NA	null	null	1.2478576
CFD	NA	null	null	1.2475615
GAS1	NA	null	null	1.2468902
NUP93	NA	null	null	1.2467086
SELO	NA	null	null	1.2466692
CSGALNACT1	NA	null	null	1.2465636
CKLF	NA	null	null	1.2464508
FBLN1	NA	null	null	1.24508
HSPA12B	NA	null	null	1.2449663
STUM	NA	null	null	1.2428991
EFNB2	NA	null	null	1.2414457
S100A13	NA	null	null	1.239563
DENND5A	NA	null	null	1.2387476
MS4A2	NA	null	null	1.2386945
LRRK1	NA	null	null	1.2384447
LOC105374811	NA	null	null	1.2364044
PTGS1	NA	null	null	1.2351542
F10	NA	null	null	1.2329639
ATXN3	NA	null	null	1.2317626
DDB2	NA	null	null	1.2310008
TCEAL7	NA	null	null	1.2292295
LPCAT1	NA	null	null	1.2284831
WNT5A	NA	null	null	1.2284194
ARL4D	NA	null	null	1.2275809
SGTB	NA	null	null	1.2262859
CDAN1	NA	null	null	1.226176
CCDC74B	NA	null	null	1.2260561
UHRF2	NA	null	null	1.2254138
HTRA3	NA	null	null	1.2253146
COX7A1	NA	null	null	1.2247494
GFOD1	NA	null	null	1.2236533
CAPN3	NA	null	null	1.2234629
HTRA1	NA	null	null	1.2232151
ATP1A2	NA	null	null	1.2227656
GM2A	NA	null	null	1.2225983
RALB	NA	null	null	1.2220467
RNASEH2C	NA	null	null	1.2219884
PAOX	NA	null	null	1.2201899
C19orf53	NA	null	null	1.2199981
S100A6	NA	null	null	1.2197742
AKAP12	NA	null	null	1.2186346
LAMA4	NA	null	null	1.217707
LAMC1	NA	null	null	1.217672
RSU1	NA	null	null	1.2157578
HDC	NA	null	null	1.215625
APOD	NA	null	null	1.2145652
NMB	NA	null	null	1.2138869
MRPL55	NA	null	null	1.212648
BTN3A2	NA	null	null	1.212413
CD2	NA	null	null	1.2122067
TCF4	NA	null	null	1.2106593
PRSS12	NA	null	null	1.2105987
SVBP	NA	null	null	1.2099247
ABCA8	NA	null	null	1.2032012
OTUD5	NA	null	null	1.2028173
CUBN	NA	null	null	1.2026314
CAMK4	NA	null	null	1.2025822
LDB2	NA	null	null	1.2023709
CD52	NA	null	null	1.2017462
PDGFD	NA	null	null	1.2009556
APOBEC3G	NA	null	null	1.2007728
ITGAX	NA	null	null	1.1972978
CD99	NA	null	null	1.1966084
FADS3	NA	null	null	1.1963536
CTHRC1	NA	null	null	1.1940432
PRKACA	NA	null	null	1.192695
ALKBH2	NA	null	null	1.1898528
ARL6IP6	NA	null	null	1.188925
CD55	NA	null	null	1.1882254
NXT1	NA	null	null	1.1869831
PTGIS	NA	null	null	1.1865889
PARD6G	NA	null	null	1.1862761
SULT1A4	NA	null	null	1.1859305
CACNA1H	NA	null	null	1.1859176
PSMB8	NA	null	null	1.1854331
UPF3A	NA	null	null	1.1848689
AFAP1L1	NA	null	null	1.1838406
NEDD4	NA	null	null	1.1832407
SRSF3	NA	null	null	1.1825081
HDAC9	NA	null	null	1.1824557
RGL1	NA	null	null	1.182289
IGFBP2	NA	null	null	1.1820799
FAM105A	NA	null	null	1.181934
HABP4	NA	null	null	1.1802506
APCDD1	NA	null	null	1.1782005
MEPCE	NA	null	null	1.1781682
LOC102724993	NA	null	null	1.1776811
TMTC2	NA	null	null	1.1770844
ASAP2	NA	null	null	1.1767656
STX4	NA	null	null	1.1760315
PLPP3	NA	null	null	1.1758628
SCARA5	NA	null	null	1.175707
AVPR1A	NA	null	null	1.1742823
EML1	NA	null	null	1.1740178
ANKRD10	NA	null	null	1.1733088
RAB34	NA	null	null	1.1730158
CCND2	NA	null	null	1.1724747
TCEAL1	NA	null	null	1.1721947
MEIS1	NA	null	null	1.1701785
PENK	NA	null	null	1.1680324
PCGF1	NA	null	null	1.1677216
SLC27A3	NA	null	null	1.1672468
TSHZ1	NA	null	null	1.1662173
CLIP3	NA	null	null	1.165001
RFXANK	NA	null	null	1.1648575
PCDH9	NA	null	null	1.1633296
MRC2	NA	null	null	1.1632787
NCK1	NA	null	null	1.1628574
MSANTD3	NA	null	null	1.1623884
IFI16	NA	null	null	1.1617794
DUSP18	NA	null	null	1.1617341
TUBB6	NA	null	null	1.1608828
SCML4	NA	null	null	1.1603179
LOXL3	NA	null	null	1.1602266
LTC4S	NA	null	null	1.1594887
SELM	NA	null	null	1.1587337
CDKN1C	NA	null	null	1.1580878
TRMU	NA	null	null	1.1573822
CDO1	NA	null	null	1.1554627
TPM2	NA	null	null	1.1544077
PHACTR2	NA	null	null	1.154226
S100B	NA	null	null	1.1540316
WDR74	NA	null	null	1.1537563
LHFP	NA	null	null	1.1536524
B2M	NA	null	null	1.1535445
MET	NA	null	null	1.153467
SEC24D	NA	null	null	1.1532717
AKAP13	NA	null	null	1.1528959
ADAMTS12	NA	null	null	1.1523123
SLC2A3	NA	null	null	1.1501366
CBLB	NA	null	null	1.1500759
RBM17	NA	null	null	1.1497753
MYCBP2	NA	null	null	1.1496533
C2CD2	NA	null	null	1.1495789
SH3BGRL3	NA	null	null	1.1493644
FAM212A	NA	null	null	1.1486217
CRHR2	NA	null	null	1.1481397
LUC7L	NA	null	null	1.1470796
ESM1	NA	null	null	1.1466353
ORC1	NA	null	null	1.1437211
APOLD1	NA	null	null	1.1432837
TRAPPC2L	NA	null	null	1.1432514
EFEMP1	NA	null	null	1.1422876
ZNF354C	NA	null	null	1.1409961
GIMAP6	NA	null	null	1.1409094
NUDT1	NA	null	null	1.1400217
THAP3	NA	null	null	1.1393881
TEAD4	NA	null	null	1.1386417
ADAM33	NA	null	null	1.137893
NUP85	NA	null	null	1.1375746
TNC	NA	null	null	1.137389
STAMBPL1	NA	null	null	1.1371099
CD200	NA	null	null	1.1370487
IL2RG	NA	null	null	1.1366982
DDIT3	NA	null	null	1.1362709
APOA1	NA	null	null	1.1361685
PLEKHA4	NA	null	null	1.1342802
IL1RAPL1	NA	null	null	1.1338062
LCK	NA	null	null	1.1337391
ERG	NA	null	null	1.132871
EXOG	NA	null	null	1.1321155
MSX1	NA	null	null	1.1312022
HTR1F	NA	null	null	1.1311531
PHF24	NA	null	null	1.1302499
PRKCA	NA	null	null	1.1298496
KANK2	NA	null	null	1.1296345
RELB	NA	null	null	1.1295637
MFAP4	NA	null	null	1.1271416
CPEB1	NA	null	null	1.1263014
C6orf25	NA	null	null	1.1241564
SLAMF7	NA	null	null	1.1236546
C3	NA	null	null	1.1234105
CASP4	NA	null	null	1.1232741
LAMTOR4	NA	null	null	1.1230047
IL23A	NA	null	null	1.1230016
ANKRD45	NA	null	null	1.1225874
PYGM	NA	null	null	1.1224996
OLFML2B	NA	null	null	1.12248
VAMP5	NA	null	null	1.1221685
ABI3BP	NA	null	null	1.1221418
CSF1	NA	null	null	1.1221136
CDC25B	NA	null	null	1.1219026
DOCK2	NA	null	null	1.1214327
ARL15	NA	null	null	1.1213702
IFITM3	NA	null	null	1.1210606
ELMSAN1	NA	null	null	1.1205846
PZP	NA	null	null	1.1185707
INTS6L	NA	null	null	1.1180587
CCDC142	NA	null	null	1.1179581
GPX7	NA	null	null	1.1172014
CCDC153	NA	null	null	1.1171019
SPARCL1	NA	null	null	1.1163181
SFRP2	NA	null	null	1.1160715
LPAR1	NA	null	null	1.1157731
ETS1	NA	null	null	1.1155913
NUDC	NA	null	null	1.1150062
TMEM176A	NA	null	null	1.1147509
LOC728715	NA	null	null	1.1135886
VOPP1	NA	null	null	1.1116263
IFITM2	NA	null	null	1.1114169
KLRC4-KLRK1	NA	null	null	1.111304
MRGPRX2	NA	null	null	1.1108717
C1R	NA	null	null	1.1086327
MAP7D1	NA	null	null	1.1082112
ARID5B	NA	null	null	1.1081988
PXDN	NA	null	null	1.107003
CACNA1G	NA	null	null	1.1060826
DES	NA	null	null	1.104544
ANKRD39	NA	null	null	1.104447
ADCY5	NA	null	null	1.1043873
C1S	NA	null	null	1.1032935
MSC	NA	null	null	1.1027192
EMP1	NA	null	null	1.1026952
ZNF423	NA	null	null	1.1026943
CAMK1	NA	null	null	1.1024728
SHOX	NA	null	null	1.1015619
SEMA4C	NA	null	null	1.1008832
SPECC1	NA	null	null	1.0999852
THBS2	NA	null	null	1.0982416
CCL2	NA	null	null	1.0969694
TMEM35B	NA	null	null	1.0959462
SSUH2	NA	null	null	1.0955523
IRAK3	NA	null	null	1.095266
NKD2	NA	null	null	1.094943
LAMA3	NA	null	null	1.0940659
CLIC5	NA	null	null	1.0931313
RAB36	NA	null	null	1.0927588
ATRAID	NA	null	null	1.0920192
TCF7L2	NA	null	null	1.0919362
NDUFA4L2	NA	null	null	1.0914013
FIBP	NA	null	null	1.0910959
DNAJB1	NA	null	null	1.0904694
KIRREL	NA	null	null	1.0903339
IGFBP4	NA	null	null	1.0893025
POGLUT1	NA	null	null	1.0888314
FAM117A	NA	null	null	1.0887793
