ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa04923	Regulation of lipolysis in adipocytes	10/540	54/7470	0.00473723129141475	0.0377167555230886	0.0284181648262607	FABP4/NPY1R/PIK3CB/PIK3R1/PRKACB/ADCY3/MGLL/ADCY4/GNAI2/PTGS1	10
hsa00340	Histidine metabolism	6/540	23/7470	0.00484417931499372	0.0377167555230886	0.0284181648262607	ALDH3B2/AOC1/HNMT/ALDH3A1/HAL/MAOB	6
hsa05323	Rheumatoid arthritis	14/540	90/7470	0.00489656124334835	0.0377167555230886	0.0284181648262607	ATP6V0E2/CSF1/CTSK/ICAM1/LTB/CCL3L3/ACP5/CCL2/CCL3/CCL3L1/CCL5/CCL20/CXCL12/TLR4	14
hsa05414	Dilated cardiomyopathy (DCM)	14/540	90/7470	0.00489656124334835	0.0377167555230886	0.0284181648262607	ITGA2/ITGB8/PRKACB/ADCY3/ADCY4/IGF1/ITGA5/ITGA9/PLN/SGCD/TPM2/CACNA2D1/CACNB2/CACNB3	14
hsa04666	Fc gamma R-mediated phagocytosis	14/540	91/7470	0.00541503792866409	0.0406127844649807	0.0306002143337251	VAV3/PIK3CB/PIK3R1/PIP5K1B/PLPP2/ARPC4/ARPC1B/HCK/ASAP1/PRKCD/MAPK3/PTPRC/RAC2/PLPP3	14
hsa00512	Mucin type O-glycan biosynthesis	7/540	31/7470	0.00566708544720857	0.0414133167296011	0.0312033854583144	GALNT3/GALNT7/C1GALT1/GALNT12/GALNT15/GALNT18/GALNT16	7
hsa00430	Taurine and hypotaurine metabolism	4/540	11/7470	0.00591403392869289	0.0416901753010488	0.0314119880384633	GGT6/GGT1/CDO1/GGT5	4
hsa04650	Natural killer cell mediated cytotoxicity	18/540	131/7470	0.00599753399067719	0.0416901753010488	0.0314119880384633	VAV3/SHC4/PIK3CB/PIK3R1/KLRC4-KLRK1/HCST/FYN/GZMB/HLA-A/HLA-C/HLA-E/ICAM1/ICAM2/NFATC1/NFATC2/MAPK3/RAC2/TYROBP	18
hsa04022	cGMP-PKG signaling pathway	21/540	163/7470	0.00668151515952001	0.0453388528681715	0.0341611301388993	CREB3L4/SLC25A4/GTF2I/ITPR2/ATP1A1/ATP1B1/ATP2A3/MYL9/ADCY3/EDNRB/ADCY4/GNAI2/MEF2C/MYLK/NFATC1/NFATC2/PDE2A/PLN/MAPK3/BDKRB2/CREB5	21
hsa04010	MAPK signaling pathway	33/540	295/7470	0.00759340274510272	0.0503283670314948	0.0379205424724836	DUSP4/EFNA3/EFNA4/ERBB2/MRAS/PRKACB/MAP3K13/CSF1/MECOM/FGFR1/FLNA/FLT3LG/ANGPT2/HGF/HSPA1A/HSPA1B/HSPB1/IGF1/IGF2/KDR/MEF2C/NFATC1/PDGFRA/PGF/MAPK3/RAC2/RRAS/VEGFC/CACNA2D1/CACNB2/CACNB3/PDGFD/CDC25B	33
hsa04072	Phospholipase D signaling pathway	19/540	146/7470	0.00865619581867857	0.0560685410982589	0.0422455489715413	MRAS/SHC4/PIK3CB/PIK3R1/PIP5K1B/PLPP2/RAPGEF3/ADCY3/RAPGEF4/LPAR1/ADCY4/MS4A2/FYN/PDGFRA/AVPR2/MAPK3/RRAS/PDGFD/PLPP3	19
hsa01522	Endocrine resistance	14/540	98/7470	0.0104009277631015	0.0658725424996427	0.0496324973958527	ERBB2/SHC4/PIK3CB/PIK3R1/PRKACB/ADCY3/HBEGF/ADCY4/ESR1/IGF1/MMP2/NOTCH3/DLL4/MAPK3	14
hsa01521	EGFR tyrosine kinase inhibitor resistance	12/540	79/7470	0.010674748834202	0.0661370308205991	0.0498317794548558	ERBB2/SHC4/PIK3CB/PIK3R1/EIF4EBP1/HGF/IGF1/KDR/PDGFRA/AXL/MAPK3/PDGFD	12
hsa05418	Fluid shear stress and atherosclerosis	18/540	139/7470	0.0109694265695086	0.0665167355810625	0.0501178727923795	MGST1/PIK3CB/PIK3R1/SDC4/CDH5/KLF2/GSTM5/ICAM1/KDR/MEF2C/MMP2/PLAT/RAC2/CCL2/SELE/BMPR1B/VCAM1/CAV1	18
hsa05231	Choline metabolism in cancer	14/540	99/7470	0.0113389523894414	0.0673250298123084	0.0507268922685537	SLC44A3/HIF1A/PIK3CB/PIK3R1/CHPT1/SLC22A4/PIP5K1B/PLPP2/EIF4EBP1/PDGFRA/MAPK3/RAC2/PDGFD/PLPP3	14
hsa04662	B cell receptor signaling pathway	11/540	71/7470	0.0123120583795086	0.0704626922559821	0.0530910035834546	VAV3/PIK3CB/PIK3R1/NFATC1/NFATC2/MAPK3/RAC2/BTK/IFITM1/CD79B/CD81	11
hsa04668	TNF signaling pathway	15/540	110/7470	0.0123618758343828	0.0704626922559821	0.0530910035834546	CREB3L4/PIK3CB/PIK3R1/RIPK3/CSF1/ICAM1/MAPK3/CCL2/CCL5/CCL20/SELE/VCAM1/VEGFC/SOCS3/CREB5	15
hsa00350	Tyrosine metabolism	7/540	36/7470	0.0131554473933754	0.0735157354335683	0.0553913574457911	ALDH3B2/GOT1/ADH1B/ALDH3A1/IL4I1/MAOB/AOC3	7
hsa04520	Adherens junction	11/540	72/7470	0.0136179500150037	0.0746368414283859	0.0562360688878697	ERBB2/LMO7/PTPRF/NECTIN4/CDH1/FGFR1/FYN/MAPK3/RAC2/SNAI2/SNAI1	11
hsa05166	Human T-cell leukemia virus 1 infection	25/540	219/7470	0.0148153072913397	0.0796672184534305	0.0600262698596485	CREB3L4/SLC25A4/MMP7/PIK3CB/PIK3R1/PRKACB/ADCY3/CHEK2/EGR1/ADCY4/ETS1/HLA-A/HLA-C/HLA-E/HLA-F/ICAM1/IL2RG/IL15RA/NFATC1/NFATC2/MAPK3/CCND2/CD3E/CD4/CREB5	25
hsa04014	Ras signaling pathway	26/540	232/7470	0.016338346823277	0.085285558064495	0.0642594786524727	EFNA3/EFNA4/MRAS/SHC4/PIK3CB/PIK3R1/PRKACB/CSF1/ETS1/FGFR1/RGL1/FLT3LG/GNG11/ANGPT2/HGF/IGF1/IGF2/KDR/PDGFRA/PGF/GNG2/MAPK3/RAC2/RRAS/VEGFC/PDGFD	26
hsa04918	Thyroid hormone synthesis	11/540	74/7470	0.0165409299086782	0.085285558064495	0.0642594786524727	CREB3L4/ITPR2/ATP1A1/ATP1B1/PRKACB/ADCY3/ADCY4/GPX3/GPX7/GPX8/CREB5	11
hsa04144	Endocytosis	27/540	244/7470	0.016997765896136	0.085285558064495	0.0642594786524727	NEDD4L/CBLC/RAB4A/PIP5K1B/PARD6B/RABEP1/CHMP4C/ARPC4/ARPC1B/DAB2/FOLR2/GRK5/EHD2/HLA-A/HLA-C/HLA-E/HLA-F/HSPA1A/HSPA1B/IL2RG/ASAP1/PDGFRA/ARAP3/CXCR4/CAV1/ACAP1/IQSEC1	27
hsa04625	C-type lectin receptor signaling pathway	14/540	104/7470	0.017057111612899	0.085285558064495	0.0642594786524727	MRAS/ITPR2/PIK3CB/PIK3R1/IRF9/PLK3/EGR3/PYCARD/LSP1/NFATC1/NFATC2/PRKCD/MAPK3/RRAS	14
hsa00480	Glutathione metabolism	9/540	56/7470	0.0180002643883739	0.087254011591936	0.0657426347728714	GGT6/GGT1/IDH2/MGST1/GGT5/GPX3/GPX7/GSTM5/GPX8	9
hsa04971	Gastric acid secretion	11/540	75/7470	0.0181672499188673	0.087254011591936	0.0657426347728714	ITPR2/ATP1A1/ATP1B1/PRKACB/CA2/ADCY3/ADCY4/GNAI2/KCNJ2/MYLK/SSTR2	11
hsa05170	Human immunodeficiency virus 1 infection	24/540	212/7470	0.0183692655983023	0.087254011591936	0.0657426347728714	AP1M2/ITPR2/PIK3CB/PIK3R1/APOBEC3A_B/APOBEC3D/GNAI2/GNG11/HLA-A/HLA-C/HLA-E/HLA-F/TMEM173/NFATC1/NFATC2/GNG2/MAPK3/RAC2/BST2/TLR4/CXCR4/CD3E/CD4/APOBEC3B	24
hsa04964	Proximal tubule bicarbonate reclamation	5/540	23/7470	0.0219375553064248	0.10249513544805	0.0772262516395283	GLUD1/ATP1A1/ATP1B1/CA2/AQP1	5
hsa05416	Viral myocarditis	9/540	59/7470	0.0246668923611473	0.113388134240758	0.0854337188739227	FYN/HLA-A/HLA-C/HLA-E/HLA-F/ICAM1/RAC2/SGCD/CAV1	9
hsa05167	Kaposi sarcoma-associated herpesvirus infection	21/540	186/7470	0.0269731868307224	0.122021559472315	0.0919386819292792	HIF1A/ITPR2/PIK3CB/PIK3R1/IRF9/CD200R1/GNG11/ANGPT2/HCK/HLA-A/HLA-C/HLA-E/HLA-F/ICAM1/IRF7/NFATC1/NFATC2/GNG2/MAPK3/C3/CLEC2B	21
hsa04270	Vascular smooth muscle contraction	15/540	121/7470	0.0274313156882356	0.122155077674174	0.0920392829013169	ITPR2/PRKACB/RAMP2/RAMP1/MYL9/ADCY3/ADCY4/MYH11/MYLK/PRKCD/MAPK3/ACTA2/ACTG2/CALD1/PPP1R14A	15
hsa04725	Cholinergic synapse	14/540	112/7470	0.0304599203124642	0.133555035216189	0.100628724595024	CREB3L4/ITPR2/PIK3CB/PIK3R1/PRKACB/ADCY3/ADCY4/FYN/GNAI2/GNG11/KCNJ2/GNG2/MAPK3/CREB5	14
hsa04213	Longevity regulating pathway - multiple species	9/540	62/7470	0.0329235721280597	0.141362093027905	0.106511050702466	PIK3CB/PIK3R1/PRKACB/ADCY3/ADCY4/FOXO1/HSPA1A/HSPA1B/IGF1	9
hsa05412	Arrhythmogenic right ventricular cardiomyopathy (ARVC)	10/540	72/7470	0.0332726126560134	0.141362093027905	0.106511050702466	DSC2/ITGA2/ITGB8/PKP2/ITGA5/ITGA9/SGCD/CACNA2D1/CACNB2/CACNB3	10
hsa04621	NOD-like receptor signaling pathway	19/540	168/7470	0.0337284993891142	0.141362093027905	0.106511050702466	ITPR2/ATG16L1/IRF9/RIPK3/GBP4/PYDC1/GBP1/PYCARD/TMEM173/IRF7/OAS3/PRKCD/MAPK3/CARD18/CCL2/CCL5/TLR4/GSDMD/ANTXR1	19
hsa05222	Small cell lung cancer	12/540	93/7470	0.0348846647837036	0.144088832802254	0.108565547152945	FHIT/ITGA2/PIK3CB/PIK3R1/TRAF4/LAMC3/COL4A1/COL4A2/FN1/LAMA4/LAMB1/LAMC1	12
hsa00590	Arachidonic acid metabolism	9/540	63/7470	0.0360557335721003	0.145291317056884	0.109471574070561	ALOX15B/GGT1/GGT5/GPX3/GPX7/LTC4S/GPX8/PTGDS/PTGS1	9
hsa04620	Toll-like receptor signaling pathway	13/540	104/7470	0.0361953807404869	0.145291317056884	0.109471574070561	PIK3CB/PIK3R1/CTSK/IRF7/CCL4L1/CCL3L3/MAPK3/CCL3/CCL3L1/CCL4/CCL5/TLR4/CCL4L2	13
hsa04530	Tight junction	19/540	170/7470	0.0374443464147962	0.148217204558568	0.111676120886234	OCLN/PATJ/CLDN4/CLDN7/ERBB2/NEDD4L/PRKACB/ACTR3B/PARD6B/CGNL1/CLDN10/CLDN8/SLC9A3R1/MYL9/MYH11/CLDN11/JAM2/CLDN5/JAM3	19
hsa05100	Bacterial invasion of epithelial cells	10/540	74/7470	0.0392357653716186	0.15281108740674	0.115137439818929	SHC4/PIK3CB/PIK3R1/CDH1/ARPC4/ARPC1B/FN1/ITGA5/CAV1/ELMO1	10
hsa04310	Wnt signaling pathway	17/540	149/7470	0.0400406733017133	0.15281108740674	0.115137439818929	MMP7/PRKACB/SFRP1/FZD1/FZD10/DKK1/DAAM2/PRICKLE4/NFATC1/NFATC2/SERPINF1/RAC2/SFRP2/SFRP4/WNT5A/WNT11/CCND2	17
hsa04064	NF-kappa B signaling pathway	12/540	95/7470	0.0402134440544053	0.15281108740674	0.115137439818929	ICAM1/CCL4L1/LTB/PLAU/CCL4/CCL19/CCL21/CXCL12/BTK/TLR4/VCAM1/CCL4L2	12
hsa04928	Parathyroid hormone synthesis, secretion and action	13/540	106/7470	0.0413381959769532	0.155018234913574	0.116800442926571	CREB3L4/ITPR2/PRKACB/SLC9A3R1/ADCY3/HBEGF/EGR1/ADCY4/FGFR1/GNAI2/MEF2C/MAPK3/CREB5	13
hsa05130	Pathogenic Escherichia coli infection	8/540	55/7470	0.0425566094605412	0.157514723327977	0.118681453587839	OCLN/KRT18/CDH1/ARPC4/ARPC1B/FYN/TUBB2B/TLR4	8
hsa00100	Steroid biosynthesis	4/540	19/7470	0.0438558534322576	0.160242541387095	0.120736762485567	DHCR7/DHCR24/TM7SF2/SOAT2	4
hsa04640	Hematopoietic cell lineage	12/540	97/7470	0.0460881343555433	0.166267320143416	0.125276207975094	CD24/ITGA2/CSF1/CSF3/FLT3LG/IL3RA/IL7/ITGA5/CD3E/CD4/CD33/CD34	12
hsa04145	Phagosome	17/540	152/7470	0.0469884604945128	0.167000300469346	0.125828481240061	ATP6V0E2/DYNC1I1/PLA2R1/ITGA2/CORO1A/HLA-A/HLA-C/HLA-E/HLA-F/TUBB2B/ITGA5/NCF4/THBS2/THBS3/TLR4/C1R/C3	17
hsa05340	Primary immunodeficiency	6/540	37/7470	0.0474632432912877	0.167000300469346	0.125828481240061	ADA/IL2RG/PTPRC/BTK/CD3E/CD4	6
hsa00600	Sphingolipid metabolism	7/540	47/7470	0.0501889538498191	0.172623749806325	0.130065540020278	DEGS2/PLPP2/ACER1/CERS3/ACER3/UGCG/PLPP3	7
hsa05160	Hepatitis C	15/540	131/7470	0.0502728815225436	0.172623749806325	0.130065540020278	OCLN/CLDN4/CLDN7/PIK3CB/PIK3R1/CLDN10/CLDN8/IRF9/IRF7/OAS3/CLDN11/MAPK3/CLDN5/SOCS3/CD81	15
hsa05162	Measles	15/540	132/7470	0.0531232648698729	0.18023964866564	0.13580383500569	CD46/PIK3CB/PIK3R1/IRF9/DOK1/FYN/HSPA1A/HSPA1B/IL2RG/IRF7/OAS3/TACR1/TLR4/CCND2/CD3E	15
hsa04664	Fc epsilon RI signaling pathway	9/540	68/7470	0.0547761827502418	0.183345343401198	0.138143859847994	VAV3/PIK3CB/PIK3R1/MS4A2/ALOX5AP/FYN/MAPK3/RAC2/BTK	9
hsa04261	Adrenergic signaling in cardiomyocytes	16/540	144/7470	0.055514818179549	0.183345343401198	0.138143859847994	CREB3L4/ATP1A1/ATP1B1/PRKACB/RAPGEF3/ADCY3/RAPGEF4/ADCY4/GNAI2/PLN/MAPK3/TPM2/CACNA2D1/CACNB2/CACNB3/CREB5	16
hsa04066	HIF-1 signaling pathway	12/540	100/7470	0.0559685785119446	0.183345343401198	0.138143859847994	ERBB2/HIF1A/PFKFB3/PIK3CB/PIK3R1/EIF4EBP1/ANGPT2/IGF1/SERPINE1/MAPK3/TIMP1/TLR4	12
hsa05030	Cocaine addiction	7/540	49/7470	0.0606516169404591	0.196428532136714	0.148001553299685	CREB3L4/GRIA2/PRKACB/PPP1R1B/GNAI2/MAOB/CREB5	7
hsa04979	Cholesterol metabolism	7/540	50/7470	0.0663479472713787	0.212462527779134	0.160082569406993	NCEH1/SOAT2/ABCA1/APOC1/APOE/LRP1/PLTP	7
