Gene ID,FK FPKM,HN FPKM,log2(HN/FK),Qvalue(FK-vs-HN),Pvalue(FK-vs-HN),Other Gene ID,Transcripts,Gene Type,Transcripts Number,Start,End,Chr,Strand +/-,Length,Max Length of Transcript,FK2 FPKM,FK4 FPKM,FK5 FPKM,FK6 FPKM,FK7 FPKM,HN1 FPKM,HN2 FPKM,HN3 FPKM,HN4 FPKM,HN5 FPKM
1001,0.47200000000000003,5.376,3.3932054528102498,1.6984581625363794e-232,1.867583829351869e-232,CDH3,"BGI_novel_T014223,XM_011522800.2,NM_001317195.1,NM_001317196.1,NM_001793.5",Known_gene,5,68644820,68727573,chr16,+,82754,4098,0.0,0.0,1.71,0.0,0.65,7.91,8.69,2.28,6.88,1.12
100101467,1.65,3.924,1.22094909122557,7.983657660833528e-62,1.9439554797640395e-61,ZSCAN30,"NM_001112734.3,NM_001166012.2,XM_005258183.4,XM_017025522.1,XM_017025518.1,NM_001288711.1,BGI_novel_T017051,XM_011525789.2,XM_017025519.1,XM_006722371.3,BGI_novel_T017049,XM_017025516.1,XM_017025521.1,XM_017025520.1,BGI_novel_T017050,XM_017025515.1,XM_017025517.1",Known_gene,17,35251058,35290261,chr18,-,39204,6114,2.56,0.1,1.34,0.56,3.69,3.57,2.21,5.3,5.35,3.19
100127889,0.46,0.0,-6.00492226795851,6.74217753045225e-10,3.9474990777941206e-09,C10orf131,NM_001130446.2,Known_gene,1,95907965,95938658,chr10,+,30694,1176,0.68,0.0,0.34,0.43,0.85,0.0,0.0,0.0,0.0,0.0
100127983,11.064,2.786,-2.07507460636331,7.983688760283018e-76,1.7477451804413797e-75,C8orf88,"NM_001190972.1,XM_017012939.1",Known_gene,2,90958471,90985257,chr8,-,26787,1053,15.0,5.44,7.98,12.08,14.82,0.46,3.8,2.88,2.5,4.29
100128108,2.81,0.22,-2.8529191745134597,3.3749102044605e-25,1.2656745662434998e-24,LOC100128108,"NM_001321551.1,XM_006720812.3,NM_001321552.1,XM_017021852.1,NM_001321553.1",Known_gene,5,101736747,101746870,chr15,-,10124,1873,2.2,1.8,2.62,1.68,5.75,0.45,0.09,0.47,0.09,0.0
100128553,0.02,0.648,4.85210433831545,1.5124019690063398e-26,5.5423273687681e-26,CTAGE4,NM_198495.2,Known_gene,1,144183455,144186080,chr7,+,2626,2626,0.0,0.0,0.1,0.0,0.0,0.02,2.58,0.0,0.64,0.0
100128927,0.312,1.744,2.5452748146019704,5.926029920514478e-54,1.5349768559695097e-53,ZBTB42,"NM_001137601.2,BGI_novel_T011739,XM_017020911.1",Known_gene,3,104800597,104804712,chr14,+,4116,3636,0.34,0.1,0.38,0.0,0.74,2.4,1.19,0.82,3.98,0.33
100129271,0.406,9.83,3.46496370831596,1.5189270522071796e-54,3.9130873662786197e-54,C1orf68,"NM_001024679.2,BGI_novel_T002769",Known_gene,2,152718592,152720429,chr1,+,1838,908,0.0,0.0,0.0,2.03,0.0,1.17,0.22,47.24,0.52,0.0
100129307,0.0,0.098,4.00943302501856,0.000673463939358263,0.0053354446711133,LOC100129307,NM_001310140.1,Known_gene,1,77661374,77662803,chr13,-,1430,1430,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.36,0.0
100129480,1.43,10.23,2.83394884292807,1.7715713647069996e-114,3.0464181661796e-114,MKRN2OS,"BGI_novel_T024513,BGI_novel_T024514,BGI_novel_T024515,BGI_novel_T024511,XM_011533242.2,NM_001195279.1,XM_011533241.2,BGI_novel_T024512,XM_011533243.2,XM_006712909.3",Known_gene,10,12507054,12561227,chr3,-,54174,2875,0.09,2.42,1.21,3.43,0.0,11.23,16.15,8.12,13.31,2.34
100129520,0.0,0.05,4.90196832765001,9.821345004472861e-06,7.0083506631566e-05,TEX13C,"XM_005262352.3,NM_001195272.1",Known_gene,2,125319871,125325214,chrX,+,5344,4765,0.0,0.0,0.0,0.0,0.0,0.03,0.07,0.0,0.15,0.0
100129543,0.35,0.012,-4.55951111963615,6.61150126553059e-13,3.44093793365621e-12,ZNF730,"XM_017026114.1,XM_017026115.1,NM_001277403.1",Known_gene,3,23075109,23147886,chr19,+,72778,3118,0.0,1.75,0.0,0.0,0.0,0.03,0.0,0.0,0.03,0.0
100129697,0.444,0.13,-1.8793913858746498,1.47486151182055e-06,1.00745145151428e-05,LOC100129697,NM_001290330.1,Known_gene,1,88940039,88951524,chr16,+,11486,1562,0.49,0.0,1.03,0.36,0.34,0.0,0.0,0.27,0.38,0.0
100129940,0.31,1.168,1.25456525215295,3.63201527411689e-07,2.4097267308255502e-06,LOC100129940,"BGI_novel_T008923,NM_001292024.1,NM_001292023.1",Known_gene,3,65851227,65882167,chr12,-,30941,4743,0.18,0.11,0.75,0.23,0.28,0.76,3.98,0.66,0.44,0.0
100129969,0.098,0.0,-4.00492226795851,0.000693549465287278,0.00550317614843287,FAM205C,"XM_017014166.1,XM_017014165.1,NM_001309426.1,NM_001309427.1",Known_gene,4,34889064,34895778,chr9,-,6715,1373,0.13,0.0,0.23,0.0,0.13,0.0,0.0,0.0,0.0,0.0
100130086,0.20199999999999999,0.0,-5.589884768679661,5.34556924539396e-08,3.40945815365968e-07,HSFX2,NM_001164415.2,Known_gene,1,149592512,149595310,chrX,-,2799,1962,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100130311,0.42200000000000004,1.314,1.4851285857371799,1.4348290741252197e-19,6.10405314203686e-19,C17orf107,NM_001145536.1,Known_gene,1,4899653,4902932,chr17,+,3280,3082,0.57,0.04,0.67,0.78,0.05,2.1,0.46,0.71,2.44,0.86
100130520,0.526,0.762,1.02154994340268,0.000243854564980904,0.0018826178081243,LOC100130520,"BGI_novel_T016282,XM_011525569.2,NM_001324076.1,NM_001324073.1,XM_006722261.3",Known_gene,5,74557229,74567512,chr17,-,10284,2412,0.0,0.0,2.63,0.0,0.0,1.29,0.0,2.52,0.0,0.0
100130705,0.054000000000000006,0.17800000000000002,1.6139875646859898,1.24296846728795e-05,8.913402446376371e-05,LOC100130705,NM_001195150.1,Known_gene,1,128866410,128872047,chr7,+,5638,3803,0.0,0.0,0.21,0.0,0.06,0.02,0.66,0.21,0.0,0.0
100130733,28.534000000000002,5.428,-2.44544403427391,0.0,0.0,LRRC70,NM_181506.4,Known_gene,1,62578735,62581448,chr5,+,2714,2249,23.57,17.97,34.51,24.77,41.85,0.59,8.41,5.49,0.93,11.72
100130967,0.29600000000000004,0.972,1.3994679871208302,4.19215687171829e-05,0.00030933118180136697,C6orf99,"XM_017010146.1,XM_017010142.1,XM_005266788.4,XM_017010145.1,XM_017010143.1,XM_011535374.2,XM_017010144.1,NM_001302840.1,NM_001195032.1,XM_017010147.1,NM_001302841.1,NM_001302839.1",Known_gene,12,158869865,158918115,chr6,+,48251,979,0.0,0.0,1.27,0.0,0.21,0.19,0.0,0.94,1.31,2.42
100131094,0.027999999999999997,0.16399999999999998,2.62618201440737,6.899239705522391e-06,4.87789328735625e-05,DPP9-AS1,"NM_001242901.1,BGI_novel_T017530",Known_gene,2,4679282,4690863,chr19,+,11582,3071,0.11,0.0,0.0,0.0,0.03,0.04,0.0,0.6,0.18,0.0
100131187,66.31,234.41,1.94355543345943,0.0,0.0,TSTD1,"BGI_novel_T003125,NM_001113206.1,NM_001113205.1,NM_001113207.1",Known_gene,4,161037631,161038984,chr1,-,1354,673,11.47,255.22,28.6,24.85,11.41,229.86,194.24,235.06,253.98,258.91
100131755,0.42,0.17,-1.39035330515203,1.94087330343625e-15,9.26217315538126e-15,ARMCX4,NM_001256155.2,Known_gene,1,101488044,101495811,chrX,+,7768,7424,0.85,0.0,0.45,0.34,0.46,0.24,0.2,0.27,0.14,0.0
100131801,282.558,129.928,-1.45331629074878,9.375563789765124e-274,9.168271212376365e-274,PET100,NM_001171155.1,Known_gene,1,7629785,7631624,chr19,+,1840,339,126.61,679.09,106.14,351.4,149.55,141.38,128.06,138.38,103.75,138.07
100131827,2.5839999999999996,6.5760000000000005,1.2433669485531,2.2255459438261e-31,7.517858427647808e-31,ZNF717,"NM_001324026.1,XM_011533251.1,XM_011533248.2,NM_001290209.1,BGI_novel_T025351,XM_011533244.2,NM_001290210.1,NM_001290208.1,XM_005264711.3,XM_006712912.3,XM_017005486.1,NM_001324028.1,BGI_novel_T025352,XM_011533250.2,NM_001128223.2,XM_017005487.1,XM_011533246.2,XM_011533249.2,XM_011533245.2,BGI_novel_T025350,NM_001324027.1",Known_gene,21,75729961,75785583,chr3,-,55623,4739,5.58,1.52,2.2,0.05,3.57,5.48,6.09,5.03,6.13,10.15
100131897,0.046,1.012,4.411440628786901,3.5668662739580694e-82,7.432887902745989e-82,FAM196B,"NM_001129891.1,BGI_novel_T029613,XM_017008908.1,XM_011534415.2",Known_gene,4,169861304,169980740,chr5,-,119437,6047,0.16,0.0,0.0,0.0,0.07,0.33,1.58,2.83,0.32,0.0
100131980,0.0,0.08199999999999999,4.16179317700791,0.000381642414648952,0.00298487095359878,ZNF705G,"XM_017012942.1,NM_001164457.1,XM_017012941.1",Known_gene,3,7357168,7381540,chr8,-,24373,1866,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.0
100132146,0.0,0.7440000000000001,7.352629736659581,1.82035923269987e-20,7.578771078965929e-20,LOC100132146,NM_001195442.1,Known_gene,1,46612435,46626543,chr3,+,14109,1826,0.0,0.0,0.0,0.0,0.0,0.09,3.53,0.05,0.05,0.0
100132247,4.8839999999999995,2.4,-1.00908973295205,1.3546404811294e-45,3.82061503506753e-45,NPIPB5,"NM_001135865.1,BGI_novel_T013646",Known_gene,2,22513352,22536521,chr16,+,23170,3835,5.24,5.34,5.17,2.87,5.8,3.4,2.36,2.1,3.36,0.78
100132403,0.9279999999999999,2.7880000000000003,1.5078764658026103,2.6728849933847604e-41,7.89699876290174e-41,FAM157B,"XM_011518110.2,XM_011518109.2,XM_011518112.2,XM_011518108.2,XM_011518107.2,BGI_novel_T036595,NM_001145249.1,XM_011518111.2,BGI_novel_T036594,XM_011518113.2",Known_gene,10,138215372,138275354,chr9,+,59983,3748,1.15,0.79,0.92,0.82,0.96,1.94,3.92,1.57,2.8,3.71
100132463,0.0,0.25,3.9380613302285896,0.0008613986881623741,0.0068753680550162205,CLDN24,NM_001185149.1,Known_gene,1,183321764,183322426,chr4,-,663,663,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0
100132911,0.5379999999999999,1.486,1.61763093029241,2.41745738454371e-13,1.24064439869752e-12,DPH3P1,NM_080750.4,Known_gene,1,62844566,62846191,chr20,+,1626,1626,0.21,1.36,0.24,0.14,0.74,2.37,2.99,0.57,0.31,1.19
100133093,2.086,0.83,-1.77834143145671,7.45943994829423e-05,0.0005578226978075361,FAM25G,NM_001137549.1,Known_gene,1,47487236,47491700,chr10,-,4465,335,0.47,7.06,0.0,2.9,0.0,2.25,1.9,0.0,0.0,0.0
100133941,15.427999999999999,103.314,2.9992304091832995,0.0,0.0,CD24,"NM_001291739.1,NM_013230.3,NM_001291738.1,NM_001291737.1",Known_gene,4,106969831,106976855,chr6,-,7025,2513,5.43,58.05,4.66,5.49,3.51,109.7,83.41,79.08,150.14,94.24
100134444,0.02,1.1159999999999999,5.983156435378981,4.65441452900871e-47,1.2901833390057899e-46,KCNJ18,"NM_001194958.2,XM_005276919.3",Known_gene,2,21692523,21705700,chr17,+,13178,3699,0.0,0.0,0.1,0.0,0.0,2.51,0.15,0.91,2.01,0.0
100134938,41.196000000000005,11.864,-1.68267078689094,9.523878126324965e-245,1.0045256732657494e-244,UPK3BL,NM_001114403.2,Known_gene,1,102637025,102642791,chr7,-,5767,1342,9.57,118.21,36.56,25.84,15.8,15.38,20.53,1.52,9.64,12.25
100142659,0.0,0.292,6.8165328511439505,2.74596277532795e-15,1.31712440492084e-14,CTAGE8,NM_001278507.1,Known_gene,1,144266674,144269784,chr7,-,3111,3111,0.0,0.0,0.0,0.0,0.0,0.0,0.29,1.03,0.14,0.0
100144748,0.18600000000000003,0.408,1.10610904443024,5.04556386969079e-07,3.36191083108221e-06,KLLN,NM_001126049.1,Known_gene,1,87859161,87863437,chr10,-,4277,4277,0.38,0.0,0.07,0.0,0.48,1.63,0.0,0.0,0.41,0.0
10019,9.05,1.85,-2.26899272054483,0.0,0.0,SH2B3,"NM_001291424.1,XM_005253819.4,XM_011537719.2,XM_011537720.2,XM_011537721.2,BGI_novel_T009382,NM_005475.2,XM_006719180.3,XM_005253818.4,BGI_novel_T009381",Known_gene,10,111405106,111451761,chr12,+,46656,7018,15.57,0.45,9.34,8.99,10.9,2.66,2.78,2.33,1.06,0.42
100191040,0.006,0.17800000000000002,4.31700582692885,1.12551638158265e-06,7.65666386011316e-06,C2CD4D,"XM_011509055.2,NM_001136003.1,XM_016999989.1",Known_gene,3,151837818,151840557,chr1,-,2740,2221,0.0,0.0,0.03,0.0,0.0,0.46,0.0,0.0,0.43,0.0
1002,0.012,0.31,4.6618343239263,5.503534066235509e-31,1.86789683515731e-30,CDH4,"NM_001252338.2,NM_001252339.2,NM_001794.4",Known_gene,3,61252426,61940617,chr20,+,688192,6513,0.0,0.0,0.01,0.0,0.05,0.06,0.85,0.32,0.32,0.0
10020,1.9780000000000002,10.83,2.1587255573240602,0.0,0.0,GNE,"NM_005476.5,BGI_novel_T035357,XM_017014167.1,XM_005251334.4,XM_017014168.1,NM_001190384.1,NM_001190388.1,NM_001190383.1,NM_001128227.2",Known_gene,9,36214441,36277056,chr9,-,62616,5703,1.24,0.93,1.4,2.05,4.27,13.8,5.22,15.11,13.43,6.59
10021,0.0,0.044000000000000004,4.8024326540991,1.77983055210474e-05,0.00012884387046310802,HCN4,"NM_005477.2,XM_011521148.2",Known_gene,2,73319859,73369264,chr15,-,49406,7228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.19
10024,1.6580000000000001,0.20800000000000002,-2.4163485136849703,5.69699489970354e-20,2.3994445610903697e-19,TROAP,"XM_011537725.2,XM_011537724.1,NM_001278324.1,NM_005480.3,BGI_novel_T008494,XM_011537723.1,NM_001100620.1,XM_006719181.1",Known_gene,8,49322135,49331731,chr12,+,9597,2832,0.15,3.2,1.08,3.86,0.0,0.14,0.0,0.15,0.62,0.13
100271846,0.0,0.08800000000000001,4.695517450182581,3.24225398965222e-05,0.00023812355452333399,ERVV-2,NM_001191055.1,Known_gene,1,53044738,53051127,chr19,+,6390,2482,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.0
100271927,6.892,1.324,-2.51647598946073,3.7081966224809886e-151,5.385135362502988e-151,RASA4B,"XM_017011626.1,NM_001277335.1,XM_017011627.1,XM_005250084.2,BGI_novel_T032989,XM_011515690.1",Known_gene,6,102483139,102517777,chr7,-,34639,3041,3.62,2.33,14.73,1.76,12.02,0.59,1.53,1.52,0.68,2.3
100287178,0.002,0.23199999999999998,7.271866820599031,3.8052166762727203e-07,2.52601120330266e-06,USP17L11,NM_001256854.1,Known_gene,1,9215405,9216997,chr4,+,1593,1593,0.0,0.01,0.0,0.0,0.0,0.02,0.05,0.0,1.07,0.02
100287441,0.002,0.322,7.7613699974772095,7.45279655543389e-09,4.5655259445823206e-08,USP17L20,NM_001256861.1,Known_gene,1,9258124,9259716,chr4,+,1593,1593,0.0,0.01,0.0,0.0,0.0,0.0,1.61,0.0,0.0,0.0
100287482,0.08,0.456,2.4280371393176003,7.04212332126548e-06,4.98173355153659e-05,SMKR1,NM_001195243.1,Known_gene,1,129502479,129512932,chr7,+,10454,1035,0.25,0.0,0.15,0.0,0.0,0.18,1.93,0.0,0.17,0.0
100287513,0.07400000000000001,0.602,2.84120222426367,4.34083049281436e-11,2.42198270300401e-10,USP17L22,NM_001256863.1,Known_gene,1,9267619,9269211,chr4,+,1593,1593,0.0,0.01,0.36,0.0,0.0,0.67,0.28,0.0,1.39,0.67
100287718,0.0,0.314,6.949274042428369,1.98545437101381e-16,9.21106694304939e-16,ANKRD66,"XM_017010148.1,NM_001162435.2",Known_gene,2,46746917,46759218,chr6,+,12302,3186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0
100287896,2.542,4.702,1.29598571936626,2.9483638610924496e-39,8.933950682580159e-39,LOC100287896,"NM_001319240.1,XM_017017055.1",Known_gene,2,74493385,74498594,chr11,+,5210,2474,0.94,9.58,0.96,0.09,1.14,5.73,2.52,5.1,6.2,3.96
100288332,7.45,1.788,-2.11888412162492,2.0605137934344695e-57,5.17966606827481e-57,NPIPA5,"XM_011522337.1,XM_011522329.2,BGI_novel_T013524,XM_011522336.2,NM_001277325.1",Known_gene,5,15363624,15381468,chr16,-,17845,1499,8.96,5.41,1.38,8.35,13.15,4.06,1.16,2.18,0.63,0.91
100288413,0.11,1.054,3.05134595168824,3.07686311752354e-33,1.0127565440971999e-32,ERVMER34-1,"NM_001242690.1,NM_024534.5",Known_gene,2,52743517,52751640,chr4,-,8124,2985,0.0,0.0,0.43,0.0,0.12,2.5,0.03,0.0,0.22,2.52
100288520,0.02,0.8859999999999999,5.25781419376362,1.07714749164986e-22,4.257737383182109e-22,USP17L15,NM_001256894.1,Known_gene,1,9234385,9236334,chr4,+,1950,1680,0.0,0.0,0.1,0.0,0.0,0.48,1.5,0.28,0.91,1.26
100288562,0.01,0.624,6.28675495521751,1.1720228602431599e-20,4.85794706118986e-20,LOC100288562,XM_002342862.5,Known_gene,1,85790269,85792352,chr8,-,2084,2084,0.0,0.05,0.0,0.0,0.0,0.83,0.78,0.18,1.33,0.0
100288687,0.08,0.368,1.72142457940655,8.539251533194979e-05,0.000640588531192916,DUX4,"NM_001293798.1,XM_011531514.2,NM_001306068.1",Known_gene,3,190173701,190175845,chr4,+,2145,1710,0.0,0.0,0.4,0.0,0.0,0.76,0.0,0.07,0.0,1.01
100288695,9.937999999999999,3.924,-1.27181450721008,8.2842628752251e-59,2.0599273812211396e-58,LIMS4,"XM_017003104.1,BGI_novel_T020623,XM_005263563.4,BGI_novel_T020624,XM_017003105.1,BGI_novel_T020622,BGI_novel_T020625,NM_001205288.1,XM_017003103.1,BGI_novel_T020621",Known_gene,10,110386417,110473075,chr2,-,86659,3015,7.26,3.34,15.95,7.72,15.42,2.6,6.61,2.44,2.8,5.17
100288797,0.0,0.198,5.8024326540991,6.17501956148504e-09,3.77337691095863e-08,TMEM239,"XM_011529129.2,NM_001167670.2,XM_011529128.2,NM_001318207.1",Known_gene,4,2815871,2820284,chr20,+,4414,3892,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0
100288966,0.0,0.10800000000000001,5.3873951548202506,3.02643423777129e-07,2.00212809749901e-06,LOC100288966,"XM_011545656.2,NM_001257362.1,XM_011545655.2,BGI_novel_T036600,XM_006709930.3,BGI_novel_T036601",Known_gene,6,108007,139435,chrUn_GL000213v1,-,31429,3168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.18,0.0
100289279,4.78,1.484,-2.12609110281124,1.7942490817920992e-121,2.955419701817369e-121,LOC100289279,"BGI_novel_T035431,XM_017015380.1,BGI_novel_T035430,XM_011545672.2,XM_011545673.2,XM_011545674.2",Known_gene,6,61330560,61461349,chr9,+,130790,4354,5.34,4.78,3.82,3.83,6.13,0.95,1.2,1.3,1.52,2.45
100289561,0.198,0.742,1.8363799860224301,2.58666026403914e-06,1.7884374544215802e-05,LOC100289561,NM_001242713.1,Known_gene,1,102363861,102380633,chr7,+,16773,1041,0.09,0.0,0.47,0.0,0.43,0.27,1.02,1.82,0.6,0.0
100289635,0.878,2.728,1.58807755182807,3.1286796158864897e-84,6.432098694898388e-84,ZNF605,"BGI_novel_T009791,NM_001164715.1,NM_183238.3",Known_gene,3,132921214,132956306,chr12,-,35093,6311,2.63,0.04,0.56,0.03,1.13,3.62,2.38,3.2,4.23,0.21
100289678,3.4819999999999998,1.3459999999999999,-1.3558560652530398,5.44406811380079e-59,1.3513003011777697e-58,ZNF783,"XM_011515701.2,NM_001195220.1",Known_gene,2,149262171,149284994,chr7,+,22824,4455,4.89,4.31,6.4,0.09,1.72,0.96,1.31,2.05,0.55,1.86
100293516,2.7239999999999998,7.064,1.4733429500172401,3.5395813189683496e-111,6.185890352116569e-111,ZNF587B,"NM_001204818.1,BGI_novel_T019257,BGI_novel_T019255,BGI_novel_T019254",Known_gene,4,57819799,57865681,chr19,+,45883,7637,2.96,3.57,2.82,0.14,4.13,11.28,4.12,11.72,4.93,3.27
100293534,0.066,0.018000000000000002,-2.08557993130373,4.46017360534509e-05,0.000329589659332891,C4B_2,NM_001242823.2,Known_gene,1,3283246,3303870,chr6_GL000256v2_alt,+,20625,5427,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.09,0.0
1003,31.736,7.688,-2.12642187601987,0.0,0.0,CDH5,"BGI_novel_T014091,XM_011522801.1,NM_001795.4,BGI_novel_T014090",Known_gene,4,66366607,66404786,chr16,+,38180,4519,25.85,3.74,72.71,10.7,45.68,8.33,6.41,8.64,13.43,1.63
100310846,0.022000000000000002,0.75,4.90196832765001,3.9259243022208e-16,1.8351728872023104e-15,ANKRD61,NM_001271700.1,Known_gene,1,6031376,6036552,chr7,+,5177,1423,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.12,3.63
100316904,0.36,0.0,-5.092385109208849,2.92614484293796e-06,2.0284305695018104e-05,SAP25,"NM_001168682.1,XM_005250096.3,XM_006715822.3",Known_gene,3,100572225,100573864,chr7,-,1640,1078,0.57,0.0,1.03,0.09,0.11,0.0,0.0,0.0,0.0,0.0
10036,0.9440000000000001,2.062,1.00868816356014,2.5606259928021697e-18,1.1252161790019699e-17,CHAF1A,"NM_005483.2,XM_011527607.2,XM_011527605.2,XM_011527606.2",Known_gene,4,4402596,4447542,chr19,+,44947,3412,0.76,0.23,1.72,1.27,0.74,3.63,2.05,1.25,1.67,1.71
100381270,0.342,1.266,1.8800852097515601,2.2048655636649997e-24,8.402940176533179e-24,ZBED6,NM_001174108.1,Known_gene,1,203797523,203800462,chr1,+,2940,2940,0.84,0.0,0.05,0.05,0.77,2.42,1.4,1.99,0.52,0.0
1004,11.345999999999998,0.7240000000000001,-3.8456960622116,0.0,0.0,CDH6,"XM_017008911.1,XM_017008910.1,BGI_novel_T028393,NM_004932.3,XM_011513921.2",Known_gene,5,31193655,31329146,chr5,+,135492,8571,14.32,16.61,7.68,7.04,11.08,0.51,2.07,0.01,0.6,0.43
10040,3.556,49.078,3.90048010545866,0.0,0.0,TOM1L1,"NM_001321174.1,NM_001321176.1,NM_001321173.1,NM_005486.2,NM_001321175.1,XM_017024002.1",Known_gene,6,54900691,54961967,chr17,+,61277,2348,3.36,7.35,2.79,1.29,2.99,68.83,26.68,57.99,39.56,52.33
100423062,738.686,0.6,-10.4569211913548,0.0,0.0,IGLL5,"NM_001178126.1,NM_001256296.1",Known_gene,2,22887780,22895834,chr22,+,8055,1059,23.0,0.12,3177.02,2.1,491.19,0.0,0.0,0.39,0.0,2.61
10043,13.578,31.03,1.1084656007387,7.827015608822297e-198,9.565101791721044e-198,TOM1,"NM_001135729.1,XM_017028529.1,BGI_novel_T023905,XM_011529818.2,NM_005488.2,NM_001135732.1,XM_011529820.2,XM_017028530.1,NM_001135730.1",Known_gene,9,35299275,35347994,chr22,+,48720,2392,7.37,5.92,37.7,5.97,10.93,37.87,12.78,36.31,50.5,17.69
